Completed,Event,Type,Date,Street,City,State,Zip,Distance,Time,Registered,ID,URL
1,Pennsylvania Spartan Super,OCR,7/11/2015,Blue Mountain Ski Area 1660 Blue Mountain DR,Palmerton,PA,18071,8.9,6:13:05,1,3997,http://www.spartan.com/events/?event_id=472/pennsylvania-super
1,Pennsylvania Spartan Sprint,OCR,7/12/2015,Blue Mountain Ski Area 1660 Blue Mountain DR,Palmerton,PA,18071,5,2:24:33,1,8781,http://www.spartan.com/events/?event_id=473/pennsylvania-sprint
-1,BIG TEN 10K,ROAD,7/25/2015,Chicago,Chicago,IL,60018,6.2,0,0,xxx,http://btnbig10k.com/
1,Washington DC Sprint,OCR,8/1/2015,11100 Kingston Pl,Charlotte Hall,MD,20622,5,2:08:04,1,9257,http://www.spartan.com/events/?event_id=497/washington-dc-sprint
1,Pittburg Battlefrog,OCR,8/8/2015,1307 Old Rte 18,Wampum,PA,16157,4.97,2:00:00,1,4397,http://battlefrogseries.com/pittsburgh2015/
1,Pittburg Battlefrog L2,OCR,8/8/2015,1307 Old Rte 18,Wampum,PA,16157,4.97,2:00:00,1,4397,http://battlefrogseries.com/pittsburgh2015/
1,Pittburg Battlefrog L3,OCR,8/8/2015,1307 Old Rte 18,Wampum,PA,16157,4.97,2:00:00,1,4397,http://battlefrogseries.com/pittsburgh2015/
1,Chicago Super Spartan,OCR,8/15/2015,The Cliff's Off-Road Park 2725 E 2625th Rd,Marseilles,IL,61341,7.5,3:04:00,1,3898,http://www.spartan.com/events/?event_id=518/chicago-super
1,Virginia Spartan Super,OCR,8/22/2015,462 Winery Lane,Nellysford,VA,22958,0,0,1,xxx,http://www.spartan.com/events/?event_id=499/virginia-super
0,Ocean City GoRuck Light (Zombies),RUCK,8/29/2015,tbd,Ocean City,MD,,0,0,1,xxx,https://www.goruck.com/e/550fa4e7801b47c3a205717611e4326e#.VH3pBLB4qix
-1,Boston Spartan Sprint,OCR,8/29/2015,Carter & Stevens Farm,St Barre,MA,01005,0,0,0,xxx,http://www.spartan.com/events/?event_id=505/boston-sprint
0,BattleFrog Ohio,OCR,8/29/2015,5778 State Route 350,Oregonia,OH,45054,0,0,0,xxx,http://battlefrogseries.com/cincinnati2015/
0,GoRuck Challenge 9/11,RUCK,9/11/2015,NYC,NYC,NY,,20,0,1,xxx,https://www.facebook.com/events/683097228474758/
0,Vermont Spartan Beast,OCR,9/19/2015,Killington,Killington,VT,,0,0,0,xxx,http://www.spartan.com/events/?event_id=572/vermont-beast
0,Chicago Spartan Sprint,OCR,8/16/2015,The Cliff's Off-Road Park 2725 E 2625th Rd,Marseilles,IL,61341,0,0,0,xxx,http://www.spartan.com/events/?event_id=519/chicago-sprint
-1,Ashville Super Spartan,OCR,8/29/2015,842 Old US Hwy 70,Black Mountain,NC,28711,0,0,0,xxx,http://www.spartan.com/events/?event_id=567/asheville-super
0,BattleFrog Chicago,OCR,9/19/2015,7036 Grand Geneva Way,Lake Geneva,WI,53147,9.32,0,0,xxx,http://battlefrogseries.com/chicago2015/
0,Fort Bragg Spartan Sprint,OCR,9/19/2015,Holland DZ,Fort Bragg,NC,28305,0,0,0,xxx,http://www.spartan.com/events/?event_id=570/fort-bragg-sprint
0,Killington Spartan Beast,OCR,9/19/2015,4763 Killington Rd,Killington,VT,05751,15,0,0,xxx,http://www.spartan.com/en/race/detail/841/overview
0,Chicago Spartan Super,OCR,9/26/2015,The Cliff's Off-Road Park 2725 E 2625th Rd,Marseilles,IL,61341,0,0,0,xxx,http://www.spartan.com/events/?event_id=518/chicago-super
0,Chicago Spartan Sprint,OCR,9/27/2015,The Cliff's Off-Road Park 2725 E 2625th Rd,Marseilles,IL,61341,0,0,0,xxx,http://www.spartan.com/events/?event_id=519/chicago-sprint
0,Tahoe Spartan Ultra Beast,OCR,10/4/2015,Squaw Valley 1960 Squaw Valley Rd.,Olympic Valley,CA,96146,26,0,0,xxx,http://www.spartan.com/en/race/detail/843/overview
0,Army 10 Miler,ROAD,10/11/2015,Washington DC,Washington,DC,20001,10,0,0,xxx,http://www.armytenmiler.com/
0,Beat the Blerch Half Marathon,ROAD,9/26/2015,270 Mendham Rd,Morristown,NJ,07960,13.1,0,0,xxx,http://www.beattheblerch.com/#east
0,OCR World Championship,OCR,10/17/2015,tbd,Cincinnati,OH,45202,0,0,0,xxx,http://ocrworldchampionships.com/register/
0,BattleFrog DC,OCR,10/24/2015,11100 Kingston Place,Charlotte Hall,MD,20622,9.32,0,0,xxx,http://battlefrogseries.com/greaterdc2015/
0,Carolina Spartan Beast ,OCR,11/14/2015,"Carolina Adventure World, 1515 Arrowhead Road",Winnsboro,SC,29180,0,0,1,xxx,http://www.spartan.com/events/?event_id=515/carolinas-beast
0,Carolina Spartan Super,OCR,11/15/2015,"Carolina Adventure World, 1515 Arrowhead Road",Winnsboro,SC,29180,0,0,0,xxx,http://www.spartan.com/events/?event_id=516/carolinas-super
0,End of Prohibition GORUCK Challenge,RUCK,12/4/2015,Pottsville,Pottsville,PA,00000,20,0,1,xxx,https://www.facebook.com/events/589227467845357/?context=create&previousaction=create&source=49&sid_create=630446803&utm_source=bronto&utm_medium=email&utm_term=All+Dynamic+Links&utm_content=Your+GORUCK+Challenge.+%25%25%23EventLocation%25%25%3A+%25%25%23EventStartTime%25%25++&utm_campaign=Challenge+Event+Order+Confirmation
-1,Merrell Down and Dirty Philadelphia,OCR,7/26/2015,Hatboro Rd and W Bristol Rd,Warminster,PA,18974,0,0,0,xxx,http://www.downanddirtyobstaclerace.com/event-cities/philadelphia/
